,make,year,link
0,ABARTH,1969,"https://www.rockauto.com/en/catalog/abarth,1969"
1,ABARTH,1968,"https://www.rockauto.com/en/catalog/abarth,1968"
2,ABARTH,1967,"https://www.rockauto.com/en/catalog/abarth,1967"
3,ABARTH,1966,"https://www.rockauto.com/en/catalog/abarth,1966"
4,ABARTH,1965,"https://www.rockauto.com/en/catalog/abarth,1965"
5,ABARTH,1964,"https://www.rockauto.com/en/catalog/abarth,1964"
6,ABARTH,1963,"https://www.rockauto.com/en/catalog/abarth,1963"
7,ABARTH,1962,"https://www.rockauto.com/en/catalog/abarth,1962"
8,ABARTH,1961,"https://www.rockauto.com/en/catalog/abarth,1961"
9,ABARTH,1960,"https://www.rockauto.com/en/catalog/abarth,1960"
10,ABARTH,1959,"https://www.rockauto.com/en/catalog/abarth,1959"
11,ABARTH,1958,"https://www.rockauto.com/en/catalog/abarth,1958"
12,ABARTH,1957,"https://www.rockauto.com/en/catalog/abarth,1957"
13,ABARTH,1956,"https://www.rockauto.com/en/catalog/abarth,1956"
14,ABARTH,1955,"https://www.rockauto.com/en/catalog/abarth,1955"
15,ABARTH,1954,"https://www.rockauto.com/en/catalog/abarth,1954"
16,ABARTH,1953,"https://www.rockauto.com/en/catalog/abarth,1953"
17,ABARTH,1952,"https://www.rockauto.com/en/catalog/abarth,1952"
18,ABARTH,1951,"https://www.rockauto.com/en/catalog/abarth,1951"
19,ABARTH,1950,"https://www.rockauto.com/en/catalog/abarth,1950"
20,AC,1973,"https://www.rockauto.com/en/catalog/ac,1973"
21,AC,1972,"https://www.rockauto.com/en/catalog/ac,1972"
22,AC,1971,"https://www.rockauto.com/en/catalog/ac,1971"
23,AC,1970,"https://www.rockauto.com/en/catalog/ac,1970"
24,AC,1969,"https://www.rockauto.com/en/catalog/ac,1969"
25,AC,1968,"https://www.rockauto.com/en/catalog/ac,1968"
26,AC,1967,"https://www.rockauto.com/en/catalog/ac,1967"
27,AC,1963,"https://www.rockauto.com/en/catalog/ac,1963"
28,AC,1962,"https://www.rockauto.com/en/catalog/ac,1962"
29,AC,1961,"https://www.rockauto.com/en/catalog/ac,1961"
30,AC,1960,"https://www.rockauto.com/en/catalog/ac,1960"
31,AC,1959,"https://www.rockauto.com/en/catalog/ac,1959"
32,AC,1958,"https://www.rockauto.com/en/catalog/ac,1958"
33,AC,1957,"https://www.rockauto.com/en/catalog/ac,1957"
34,AC,1956,"https://www.rockauto.com/en/catalog/ac,1956"
35,AC,1955,"https://www.rockauto.com/en/catalog/ac,1955"
36,AC,1954,"https://www.rockauto.com/en/catalog/ac,1954"
37,AC,1953,"https://www.rockauto.com/en/catalog/ac,1953"
38,AC,1952,"https://www.rockauto.com/en/catalog/ac,1952"
39,AC,1951,"https://www.rockauto.com/en/catalog/ac,1951"
